Ep 242 | Steps: 300 | Reward: 98.98 | Loss: 0.1044 | Epsilon: 0.088 | Success: YES
Ep 243 | Steps: 300 | Reward: 5.75 | Loss: 0.1267 | Epsilon: 0.087 | Success: NO
Ep 244 | Steps: 300 | Reward: 70.78 | Loss: 0.1171 | Epsilon: 0.086 | Success: YES
Ep 245 | Steps: 300 | Reward: 16.20 | Loss: 0.1060 | Epsilon: 0.085 | Success: NO
Ep 246 | Steps: 85 | Reward: 25.73 | Loss: 0.1238 | Epsilon: 0.084 | Success: NO
Ep 247 | Steps: 300 | Reward: 275.25 | Loss: 0.1278 | Epsilon: 0.084 | Success: YES
Ep 248 | Steps: 300 | Reward: 6.40 | Loss: 0.1111 | Epsilon: 0.083 | Success: NO
Ep 249 | Steps: 300 | Reward: -27.35 | Loss: 0.1138 | Epsilon: 0.082 | Success: NO
Ep 250 | Steps: 300 | Reward: -3.09 | Loss: 0.1180 | Epsilon: 0.081 | Success: NO
Ep 251 | Steps: 300 | Reward: 15.90 | Loss: 0.1358 | Epsilon: 0.080 | Success: NO
Ep 252 | Steps: 300 | Reward: 30.31 | Loss: 0.1163 | Epsilon: 0.079 | Success: NO
Ep 253 | Steps: 300 | Reward: -92.69 | Loss: 0.1277 | Epsilon: 0.079 | Success: NO
Ep 254 | Steps: 300 | Reward: -26.25 | Loss: 0.1510 | Epsilon: 0.078 | Success: NO
Ep 255 | Steps: 300 | Reward: 271.78 | Loss: 0.1562 | Epsilon: 0.077 | Success: YES
Ep 256 | Steps: 300 | Reward: -16.03 | Loss: 0.1305 | Epsilon: 0.076 | Success: NO
Ep 257 | Steps: 300 | Reward: -16.38 | Loss: 0.1229 | Epsilon: 0.076 | Success: NO
Ep 258 | Steps: 300 | Reward: 69.93 | Loss: 0.1422 | Epsilon: 0.075 | Success: YES
Ep 259 | Steps: 300 | Reward: -7.22 | Loss: 0.1303 | Epsilon: 0.074 | Success: NO
